ID,Ronda,Rival,Resultado
1042,1,Angel Rodriguez Espada [US],Win
1043,15,Zhe Zhang [CN],Loss
1043,14,Justin Tang [US],Win
1043,13,Devon Singh [US],Loss
1043,12,Brandon Hoffman [US],Win
1043,11,Will Inabinet [US],Loss
1043,10,Ethan Trejo [US],Win
1043,9,Rajan Gary [US],Win
1043,8,Surya Makthal [US],Win
1043,7,Owen Murphy [US],Loss
1043,6,Christopher Saint-Germain [US],Win
1043,5,Carl Shotsberger [US],Win
1043,4,James Evans [US],Loss
1043,3,Noah Singer [US],Win
1043,2,Andrew Blackburn [US],Win
1043,1,Chase Matteo [US],Win
1044,15,Mia Gray [US],Win
1044,14,Nick Willems [US],Win
1044,13,Noah Gardner [US],Loss
1044,12,Kazuki Kanehira [US],Loss
1044,11,Paul Chua [US],Loss
1044,10,Brady Smith [US],Win
1044,9,Samuel Mowery [US],Win
1044,8,kody phelps [US],Win
1044,7,Adam Satira [US],Win
1044,6,Janice Lee [US],Win
1044,5,Ethan Trejo [US],Loss
1044,4,George Jeno [US],Win
1044,3,Andrew Dillon [US],Win
1044,2,Ray Camp [US],Loss
1044,1,Madison Morrell [US],Win
1045,15,Brandon Hoffman [US],Win
1045,14,Riley Factura [US],Loss
1045,13,Marco Martinez [US],Loss
1045,12,Trista Medine [US],Win
1045,11,Garrett Wilson [US],Win
1045,10,Yichun Wu [US],Loss
1045,9,Flavoris Belue [US],Win
1045,8,George Tifverman [US],Win
1045,7,Samuel Mowery [US],Loss
1045,6,Matthew Irwin [US],Win
1045,5,Manuel Sixtos [US],Win
1045,4,Brett Clark [US],Win
1045,3,Mason Cutler [US],Win
1045,2,Eliecel Vazquez [US],Win
1045,1,Patrick Cheng [CA],Loss
1046,15,Sam Danneker [US],Win
1046,14,Dustin Deardurff [US],Loss
1046,13,Thomas Cholakov [US],Win
1046,12,Kyle Livinghouse [US],Loss
1046,11,Stephen Hill [US],Win
1046,10,Jonathan Zuniga [US],Loss
1046,9,Jianzheng Huang [CN],Win
1046,8,Chris Wolfe [US],Win
1046,7,Brian Collins [US],Loss
1046,6,Ethan Holland [US],Win
1046,5,Jered Hunn [US],Win
1046,4,Matthew Lapico [US],Win
1046,3,Kenneth Matthews [US],Win
1046,2,Aiden Hunt [US],Loss
1046,1,Michael Lohr [US],Win
1047,15,Tianshu Ren [US],Win
1047,14,Garrett Wilson [US],Win
1047,13,Dillon Woolf [US],Loss
1047,12,Rajan Bal [US],Loss
1047,11,Blake Silver [US],Loss
1047,10,Bobby Rochelle [US],Win
1047,9,Mathew Courtney [US],Win
1047,8,Nicholas Hegel [US],Win
1047,7,Justin Tang [US],Loss
1047,6,Chance Hinds [US],Win
1047,5,Zhe Zhang [CN],Loss
1047,4,Maverick Garcia [US],Win
1047,3,JUSTIN JOSEY [US],Win
1047,2,Abdul Barrie [US],Win
1047,1,Pearce Cabell [US],Win
1048,15,Zackary Thornberg [US],Loss
1048,14,Rily Corn [US],Win
1048,13,Dashiell Murphy [US],Loss
1048,12,Tianshu Ren [US],Win
1048,11,Joshua Denk [US],Win
1048,10,Jerry Woods III [US],Loss
1048,9,Ian McLaughlin [US],Win
1048,8,Bukunmi Oyewole [US],Win
1048,7,Michael Simpson [US],Win
