Pokemon_1,Objeto_1,Habilidad_1,Teratipo_1,Mov1_1,Mov2_1,Mov3_1,Mov4_1,Pokemon_2,Objeto_2,Habilidad_2,Teratipo_2,Mov1_2,Mov2_2,Mov3_2,Mov4_2,Pokemon_3,Objeto_3,Habilidad_3,Teratipo_3,Mov1_3,Mov2_3,Mov3_3,Mov4_3,Pokemon_4,Objeto_4,Habilidad_4,Teratipo_4,Mov1_4,Mov2_4,Mov3_4,Mov4_4,Pokemon_5,Objeto_5,Habilidad_5,Teratipo_5,Mov1_5,Mov2_5,Mov3_5,Mov4_5,Pokemon_6,Objeto_6,Habilidad_6,Teratipo_6,Mov1_6,Mov2_6,Mov3_6,Mov4_6,Archetype
Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Hyper Voice,Earth Power,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Incineroar,Assault Vest,Intimidate,Grass,Fake Out,Flare Blitz,Knock Off,U-turn,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Psychic,Dazzling Gleam,Trick Room,Helping Hand,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Icy Wind,2
Gholdengo,Leftovers,Good as Gold,Fairy,Make It Rain,Nasty Plot,Shadow Ball,Protect,Hatterene,Light Clay,Magic Bounce,Steel,Dazzling Gleam,Reflect,Light Screen,Trick Room,Ursaluna,Flame Orb,Guts,Normal,Facade,Swords Dance,Earthquake,Protect,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Rage Powder,Pollen Puff,Clear Smog,Incineroar,Safety Goggles,Intimidate,Dragon,Flare Blitz,Fake Out,Knock Off,Parting Shot,Porygon2,Eviolite,Trace,Flying,Tera Blast,Trick Room,Eerie Impulse,Recover,0
Tornadus,Covert Cloak,Prankster,Dark,Bleakwind Storm,Tailwind,Icy Wind,Rain Dance,Iron Crown,Booster Energy,Quark Drive,Psychic,Expanding Force,Tachyon Cutter,Calm Mind,Protect,Ursaluna,Flame Orb,Guts,Ghost,Facade,Earthquake,Headlong Rush,Protect,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Dazzling Gleam,Follow Me,Trick Room,Imprison,Urshifu-Rapid-Strike,Choice Band,Unseen Fist,Water,Surging Strikes,Close Combat,U-turn,Ice Spinner,Zapdos-Galar,Choice Scarf,Defiant,Fire,Brave Bird,Thunderous Kick,Close Combat,U-turn,0
Gallade,Clear Amulet,Sharpness,Grass,Wide Guard,Trick Room,Sacred Sword,Psycho Cut,Hatterene,Life Orb,Magic Bounce,Fire,Expanding Force,Dazzling Gleam,Protect,Trick Room,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Stellar,Surging Strikes,Ice Spinner,Close Combat,U-turn,Indeedee-F,Rocky Helmet,Psychic Surge,Water,Follow Me,Dazzling Gleam,Helping Hand,Trick Room,Torkoal,Charcoal,Drought,Fire,Protect,Weather Ball,Earth Power,Eruption,Kingambit,Black Glasses,Defiant,Dragon,Kowtow Cleave,Protect,Swords Dance,Sucker Punch,0
Ursaluna,Flame Orb,Guts,Ghost,Protect,Earthquake,Headlong Rush,Facade,Indeedee-F,Sitrus Berry,Psychic Surge,Fairy,Follow Me,Trick Room,Dazzling Gleam,Helping Hand,Urshifu,Focus Sash,Unseen Fist,Dark,Protect,Wicked Blow,Close Combat,Sucker Punch,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Protect,Moonblast,Shadow Ball,Icy Wind,Dusclops,Eviolite,Pressure,Grass,Pain Split,Night Shade,Trick Room,Haze,Iron Crown,Life Orb,Quark Drive,Water,Protect,Tera Blast,Expanding Force,Tachyon Cutter,0
Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Rage Powder,Pollen Puff,Protect,Archaludon,Assault Vest,Stamina,Grass,Heavy Slam,Draco Meteor,Body Press,Snarl,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Shadow Ball,Moonblast,Dazzling Gleam,Thunderbolt,Roaring Moon,Booster Energy,Protosynthesis,Flying,Knock Off,Acrobatics,Dragon Dance,Protect,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Flare Blitz,Knock Off,Parting Shot,0
Pelipper,Focus Sash,Drizzle,Ghost,Weather Ball,Tailwind,Hurricane,Wide Guard,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sandsear Storm,Sludge Bomb,Protect,Incineroar,Sitrus Berry,Intimidate,Grass,Knock Off,Flare Blitz,Fake Out,Parting Shot,Archaludon,Assault Vest,Stamina,Bug,Body Press,Electro Shot,Flash Cannon,Draco Meteor,Amoonguss,Rocky Helmet,Regenerator,Water,Clear Smog,Spore,Pollen Puff,Rage Powder,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,U-turn,Aqua Jet,18
Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Icy Wind,Tornadus,Rocky Helmet,Prankster,Steel,Protect,Tailwind,Taunt,Bleakwind Storm,Glimmora,Power Herb,Toxic Debris,Grass,Spiky Shield,Sludge Bomb,Earth Power,Meteor Beam,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Horn Leech,Follow Me,Arcanine-Hisui,Choice Band,Intimidate,Fairy,Flare Blitz,Rock Slide,Extreme Speed,Head Smash,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,4
Annihilape,Leftovers,Defiant,Water,Rage Fist,Drain Punch,Protect,Bulk Up,Rillaboom,Assault Vest,Grassy Surge,Fire,Fake Out,Grassy Glide,Wood Hammer,High Horsepower,Raging Bolt,Booster Energy,Protosynthesis,Grass,Thunderclap,Dragon Pulse,Calm Mind,Protect,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Icicle Crash,Throat Chop,Haze,Protect,Sableye,Light Clay,Prankster,Steel,Light Screen,Reflect,Will-O-Wisp,Taunt,Comfey,Sitrus Berry,Triage,Steel,Protect,Draining Kiss,Floral Healing,Trick Room,0
Farigiraf,Sitrus Berry,Armor Tail,Fairy,Psychic,Dazzling Gleam,Trick Room,Helping Hand,Incineroar,Assault Vest,Intimidate,Grass,Fake Out,Flare Blitz,Knock Off,U-turn,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Hyper Voice,Earth Power,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Icy Wind,2
Archaludon,Assault Vest,Stamina,Grass,Electro Shot,Draco Meteor,Heavy Slam,Body Press,Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Tailwind,Rain Dance,Protect,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Protect,Arcanine-Hisui,Choice Band,Intimidate,Ghost,Rock Slide,Flare Blitz,Extreme Speed,Head Smash,Amoonguss,Sitrus Berry,Regenerator,Dark,Pollen Puff,Rage Powder,Spore,Protect,Urshifu-Rapid-Strike,Life Orb,Unseen Fist,Grass,Surging Strikes,Close Combat,Aqua Jet,Detect,0
Raging Bolt,Assault Vest,Protosynthesis,Fairy,Dragon Pulse,Electroweb,Snarl,Thunderclap,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Protect,Moonblast,Icy Wind,Taunt,Landorus,Life Orb,Sheer Force,Poison,Protect,Substitute,Sludge Bomb,Earth Power,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Steel,U-turn,Surging Strikes,Close Combat,Aqua Jet,Incineroar,Rocky Helmet,Intimidate,Grass,Flare Blitz,Fake Out,Parting Shot,Knock Off,Amoonguss,Sitrus Berry,Regenerator,Water,Protect,Spore,Pollen Puff,Rage Powder,15
Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Sludge Bomb,Earth Power,Spiky Shield,Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Taunt,Tailwind,Protect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Icy Wind,Chi-Yu,Life Orb,Beads of Ruin,Ghost,Heat Wave,Snarl,Overheat,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Follow Me,Horn Leech,Ivy Cudgel,Urshifu,Focus Sash,Unseen Fist,Dark,Protect,Wicked Blow,Close Combat,Sucker Punch,4
Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Spiky Shield,Ivy Cudgel,Horn Leech,Swords Dance,Farigiraf,Rocky Helmet,Armor Tail,Fairy,Protect,Dazzling Gleam,Trick Room,Helping Hand,Walking Wake,Life Orb,Protosynthesis,Fire,Protect,Hydro Steam,Draco Meteor,Flamethrower,Raging Bolt,Magnet,Protosynthesis,Electric,Protect,Thunderclap,Thunderbolt,Draco Meteor,Whimsicott,Focus Sash,Prankster,Ghost,Protect,Tailwind,Encore,Energy Ball,Torkoal,Eject Pack,Drought,Fire,Protect,Overheat,Scorching Sands,Helping Hand,0
Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Steel,Surging Strikes,U-turn,Close Combat,Ice Spinner,Incineroar,Sitrus Berry,Intimidate,Grass,Fake Out,Flare Blitz,Parting Shot,Helping Hand,Iron Crown,Booster Energy,Quark Drive,Fairy,Expanding Force,Tachyon Cutter,Calm Mind,Protect,Indeedee-F,Psychic Seed,Psychic Surge,Fairy,Follow Me,Helping Hand,Protect,Dazzling Gleam,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Icy Wind,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,0
Chi-Yu,Life Orb,Beads of Ruin,Ghost,Snarl,Heat Wave,Dark Pulse,Protect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Shadow Ball,Moonblast,Dazzling Gleam,Icy Wind,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect,Indeedee-F,Rocky Helmet,Psychic Surge,Grass,Follow Me,Dazzling Gleam,Imprison,Trick Room,Tornadus,Safety Goggles,Prankster,Steel,Bleakwind Storm,Sunny Day,Tailwind,Protect,Iron Crown,Booster Energy,Quark Drive,Psychic,Protect,Tachyon Cutter,Expanding Force,Calm Mind,0
Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,U-turn,Aqua Jet,Incineroar,Aguav Berry,Intimidate,Dragon,Flare Blitz,Knock Off,Fake Out,Helping Hand,Raging Bolt,Booster Energy,Protosynthesis,Grass,Thunderbolt,Draco Meteor,Protect,Thunderclap,Amoonguss,Rocky Helmet,Regenerator,Water,Pollen Puff,Spore,Rage Powder,Protect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Power Gem,Tornadus,Mental Herb,Prankster,Steel,Bleakwind Storm,Taunt,Rain Dance,Tailwind,0
Gouging Fire,Booster Energy,Protosynthesis,Fairy,Burning Bulwark,Breaking Swipe,Heat Crash,Howl,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Icy Wind,Amoonguss,Sitrus Berry,Regenerator,Fairy,Spore,Rage Powder,Protect,Pollen Puff,Kingambit,Black Glasses,Defiant,Fire,Protect,Kowtow Cleave,Iron Head,Sucker Punch,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Protect,Ice Spinner,Sacred Sword,Sucker Punch,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Follow Me,Ivy Cudgel,Horn Leech,10
Tyranitar,Choice Band,Sand Stream,Fairy,Knock Off,Assurance,Brick Break,Rock Slide,Farigiraf,Sitrus Berry,Armor Tail,Fire,Helping Hand,Trick Room,Dazzling Gleam,Psyshock,Zapdos-Galar,Choice Scarf,Defiant,Flying,Brave Bird,Knock Off,Close Combat,U-turn,Ursaluna-Bloodmoon,Safety Goggles,Mind’s Eye,Normal,Earth Power,Protect,Blood Moon,Hyper Voice,Excadrill,Focus Sash,Sand Rush,Stellar,Protect,High Horsepower,X-Scissor,Iron Head,Rillaboom,Assault Vest,Grassy Surge,Grass,Wood Hammer,Fake Out,Grassy Glide,High Horsepower,0
Dragonite,Assault Vest,Inner Focus,Normal,Extreme Speed,Thunder Punch,Stomping Tantrum,Aerial Ace,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Rage Powder,Grass Knot,Clear Smog,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sucker Punch,Sacred Sword,Protect,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Spiky Shield,Horn Leech,Stomping Tantrum,Kingambit,Black Glasses,Defiant,Dragon,Kowtow Cleave,Iron Head,Sucker Punch,Protect,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Poison,Surging Strikes,Close Combat,Aqua Jet,U-turn,16
Urshifu-Rapid-Strike,Mystic Water,Unseen Fist,Water,Surging Strikes,Aqua Jet,Close Combat,Protect,Incineroar,Shuca Berry,Intimidate,Grass,Fake Out,Parting Shot,Flare Blitz,Knock Off,Tornadus,Rocky Helmet,Prankster,Steel,Rain Dance,Tailwind,Bleakwind Storm,Protect,Amoonguss,Sitrus Berry,Regenerator,Water,Pollen Puff,Spore,Rage Powder,Protect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Perish Song,Archaludon,Assault Vest,Stamina,Grass,Flash Cannon,Draco Meteor,Electro Shot,Body Press,19
Incineroar,Sitrus Berry,Intimidate,Water,Flare Blitz,Knock Off,Fake Out,Parting Shot,Farigiraf,Safety Goggles,Armor Tail,Fire,Psyshock,Dazzling Gleam,Helping Hand,Trick Room,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Taunt,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Follow Me,Ivy Cudgel,Horn Leech,Landorus,Life Orb,Sheer Force,Poison,Protect,Earth Power,Sludge Bomb,Substitute,Iron Bundle,Booster Energy,Quark Drive,Ghost,Protect,Encore,Freeze-Dry,Icy Wind,0
Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Raging Bolt,Safety Goggles,Protosynthesis,Electric,Thunderbolt,Thunderclap,Dragon Pulse,Protect,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Shadow Ball,Icy Wind,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Chi-Yu,Focus Sash,Beads of Ruin,Ghost,Flamethrower,Dark Pulse,Snarl,Protect,Farigiraf,Rocky Helmet,Armor Tail,Steel,Psychic,Uproar,Imprison,Trick Room,0
Tornadus,Rocky Helmet,Prankster,Ghost,Bleakwind Storm,Tailwind,Taunt,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Icy Wind,Protect,Chi-Yu,Life Orb,Beads of Ruin,Ghost,Overheat,Heat Wave,Snarl,Protect,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Earth Power,Sludge Bomb,Spiky Shield,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,4
Registeel,Leftovers,Clear Body,Water,Protect,Iron Defense,Body Press,Heavy Slam,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Follow Me,Horn Leech,Ivy Cudgel,Glimmora,Power Herb,Toxic Debris,Grass,Spiky Shield,Meteor Beam,Sludge Bomb,Earth Power,Cresselia,Safety Goggles,Levitate,Poison,Trick Room,Skill Swap,Psychic,Lunar Blessing,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Shadow Ball,Psyshock,Incineroar,Sitrus Berry,Intimidate,Water,Fake Out,Flare Blitz,Knock Off,Parting Shot,0
Rillaboom,Miracle Seed,Grassy Surge,Grass,Wood Hammer,High Horsepower,Grassy Glide,Fake Out,Iron Bundle,Booster Energy,Quark Drive,Ghost,Freeze-Dry,Icy Wind,Encore,Protect,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Sandsear Storm,Protect,Kingambit,Assault Vest,Defiant,Water,Kowtow Cleave,Iron Head,Sucker Punch,Low Kick,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Gouging Fire,Rocky Helmet,Protosynthesis,Grass,Heat Crash,Breaking Swipe,Howl,Burning Bulwark,3
Entei,Assault Vest,Inner Focus,Grass,Sacred Fire,Stomping Tantrum,Extreme Speed,Snarl,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Protect,Glimmora,Power Herb,Toxic Debris,Grass,Spiky Shield,Meteor Beam,Earth Power,Sludge Bomb,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Follow Me,Horn Leech,Ivy Cudgel,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Protect,Dazzling Gleam,Shadow Ball,Moonblast,Tornadus,Rocky Helmet,Prankster,Ghost,Bleakwind Storm,Taunt,Tailwind,Protect,4
Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Taunt,Sunny Day,Tailwind,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Power Gem,Moonblast,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,U-turn,Ice Punch,Chi-Yu,Life Orb,Beads of Ruin,Grass,Heat Wave,Dark Pulse,Overheat,Protect,Indeedee-F,Rocky Helmet,Psychic Surge,Water,Dazzling Gleam,Follow Me,Trick Room,Helping Hand,Iron Crown,Booster Energy,Quark Drive,Water,Tachyon Cutter,Expanding Force,Focus Blast,Protect,0
Porygon2,Eviolite,Download,Poison,Tera Blast,Recover,Trick Room,Ice Beam,Incineroar,Assault Vest,Intimidate,Grass,Knock Off,Flare Blitz,Snarl,Fake Out,Landorus,Life Orb,Sheer Force,Ghost,Earth Power,Sludge Bomb,Substitute,Protect,Amoonguss,Rocky Helmet,Regenerator,Water,Spore,Pollen Puff,Protect,Rage Powder,Urshifu,Focus Sash,Unseen Fist,Grass,Wicked Blow,Sucker Punch,Close Combat,Detect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Charm,0
Kingambit,Assault Vest,Defiant,Fire,Kowtow Cleave,Iron Head,Sucker Punch,Low Kick,Gouging Fire,Booster Energy,Protosynthesis,Grass,Breaking Swipe,Flare Blitz,Howl,Burning Bulwark,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Farigiraf,Rocky Helmet,Armor Tail,Fairy,Dazzling Gleam,Psychic,Imprison,Trick Room,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Thunderbolt,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Ice Spinner,Sucker Punch,Sacred Sword,Protect,0
Entei,Assault Vest,Inner Focus,Normal,Sacred Fire,Extreme Speed,Stomping Tantrum,Snarl,Raging Bolt,Leftovers,Protosynthesis,Grass,Protect,Thunderclap,Draco Meteor,Thunderbolt,Weezing,Sitrus Berry,Neutralizing Gas,Ghost,Protect,Sludge Bomb,Taunt,Will-O-Wisp,Urshifu,Choice Scarf,Unseen Fist,Poison,Wicked Blow,Close Combat,Sucker Punch,U-turn,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Power Gem,Tornadus,Rocky Helmet,Prankster,Steel,Protect,Bleakwind Storm,Sunny Day,Tailwind,0
Rillaboom,Assault Vest,Grassy Surge,Rock,Fake Out,Wood Hammer,Grassy Glide,U-turn,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Snarl,Burning Bulwark,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Icy Wind,Tornadus,Covert Cloak,Prankster,Dark,Tailwind,Sunny Day,Bleakwind Storm,Taunt,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect,0
Chien-Pao,Life Orb,Sword of Ruin,Stellar,Icicle Crash,Sucker Punch,Ice Shard,Protect,Amoonguss,Sitrus Berry,Regenerator,Steel,Pollen Puff,Rage Powder,Spore,Protect,Archaludon,Assault Vest,Stamina,Fairy,Heavy Slam,Dragon Pulse,Electro Shot,Body Press,Pelipper,Focus Sash,Drizzle,Flying,Weather Ball,Hurricane,Tailwind,Wide Guard,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Taunt,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Aqua Jet,Close Combat,U-turn,0
Goodra-Hisui,Leftovers,Shell Armor,Fairy,Body Press,Heavy Slam,Protect,Shelter,Grimmsnarl,Light Clay,Prankster,Ghost,Reflect,Light Screen,Spirit Break,Parting Shot,Cresselia,Safety Goggles,Levitate,Fire,Lunar Blessing,Trick Room,Skill Swap,Ice Beam,Amoonguss,Mental Herb,Regenerator,Water,Spore,Protect,Rage Powder,Pollen Puff,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Protect,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Hyper Voice,Protect,Earth Power,0
Iron Crown,Booster Energy,Quark Drive,Water,Expanding Force,Tachyon Cutter,Tera Blast,Protect,Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Tailwind,Rain Dance,Icy Wind,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Protect,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,U-turn,Ice Spinner,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Follow Me,Helping Hand,Trick Room,Dazzling Gleam,6
Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Protect,Blood Moon,Hyper Voice,Earth Power,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Thunderbolt,Farigiraf,Sitrus Berry,Armor Tail,Fire,Psychic,Hyper Voice,Helping Hand,Trick Room,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Horn Leech,Follow Me,Chi-Yu,Focus Sash,Beads of Ruin,Ghost,Protect,Heat Wave,Dark Pulse,Overheat,Iron Bundle,Booster Energy,Quark Drive,Ghost,Protect,Freeze-Dry,Icy Wind,Hydro Pump,0
Tornadus,Mental Herb,Prankster,Steel,Bleakwind Storm,Rain Dance,Tailwind,Protect,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Dazzling Gleam,Follow Me,Helping Hand,Protect,Regidrago,Dragon Fang,Dragon's Maw,Steel,Dragon Energy,Draco Meteor,Earth Power,Protect,Ogerpon,Focus Sash,Defiant,Grass,Ivy Cudgel,Superpower,Follow Me,Spiky Shield,Iron Crown,Booster Energy,Quark Drive,Psychic,Expanding Force,Tachyon Cutter,Calm Mind,Protect,6
Zoroark-Hisui,Life Orb,Illusion,Ghost,Shadow Sneak,Poltergeist,Swords Dance,Protect,Flutter Mane,Fairy Feather,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Trick Room,Protect,Indeedee-F,Focus Sash,Psychic Surge,Water,Psychic,Follow Me,Trick Room,Protect,Torkoal,Charcoal,Drought,Fire,Flamethrower,Eruption,Yawn,Protect,Registeel,Leftovers,Light Metal,Fighting,Hard Press,Body Press,Iron Defense,Amnesia,Iron Crown,Choice Specs,Quark Drive,Psychic,Expanding Force,Tachyon Cutter,Volt Switch,Steel Beam,0
Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Power Gem,Kingambit,Assault Vest,Defiant,Water,Kowtow Cleave,Iron Head,Low Kick,Sucker Punch,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Arcanine-Hisui,Choice Band,Intimidate,Fairy,Flare Blitz,Rock Slide,Extreme Speed,Tera Blast,Latias,Rocky Helmet,Levitate,Steel,Mist Ball,Ice Beam,Tailwind,Recover,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me,0
Iron Hands,Assault Vest,Quark Drive,Fire,Wild Charge,Drain Punch,Heavy Slam,Fake Out,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Burning Bulwark,Breaking Swipe,Howl,Kingambit,Black Glasses,Defiant,Dragon,Kowtow Cleave,Sucker Punch,Swords Dance,Protect,Rillaboom,Miracle Seed,Grassy Surge,Grass,Wood Hammer,Grassy Glide,High Horsepower,Fake Out,Gyarados,Covert Cloak,Intimidate,Grass,Thunder Wave,Protect,Taunt,Waterfall,Latios,Soul Dew,Levitate,Steel,Luster Purge,Draco Meteor,Calm Mind,Protect,0
Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Power Gem,Amoonguss,Rocky Helmet,Regenerator,Water,Spore,Pollen Puff,Rage Powder,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Heatran,Life Orb,Flash Fire,Fairy,Heat Wave,Flash Cannon,Earth Power,Protect,Tornadus,Mental Herb,Prankster,Ghost,Bleakwind Storm,Tailwind,Sunny Day,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,0
