ID,Ronda,Rival,Resultado
NOf-1131,5,alexmusi,Win
NOf-1131,6,efravgc,Loss
NOf-1131,7,beelzebruno,Win
NOf-1131,8,808,Win
NOf-1132,1,darktacovgc,Win
NOf-1132,2,gielbakker,Loss
NOf-1132,3,mcsquidzy,Loss
NOf-1132,4,altkyle,Loss
NOf-1132,5,tazzawells,Win
NOf-1132,6,andreasmusikant,Win
NOf-1132,7,shinobi,Win
NOf-1132,8,exonarf,Win
NOf-1133,1,tazzawells,Loss
NOf-1133,2,ducelimone,Loss
NOf-1133,3,skylani,Win
NOf-1133,4,bowdeniscomp,Win
NOf-1133,5,riku,Win
NOf-1133,6,silvermac,Win
NOf-1133,7,ariesxvgc,Win
NOf-1133,8,lildarkrai68,Loss
NOf-1134,1,thebigmacky,Win
NOf-1134,2,nicohax,Win
NOf-1134,3,mikehawk12,Win
NOf-1134,4,pisco2296,Win
NOf-1134,5,sanvy,Loss
NOf-1134,6,giulio97,Loss
NOf-1134,7,lelandvgc,Loss
NOf-1135,1,efravgc,Win
NOf-1135,2,fireboule,Win
NOf-1135,3,charismaacheck,Win
NOf-1135,4,nator92,Loss
NOf-1135,5,mrawesome,Loss
NOf-1135,6,zeonser,Win
NOf-1135,7,lemonpi,Loss
NOf-1136,1,denzel,Win
NOf-1136,2,rosswo,Win
NOf-1136,3,mushy,Win
